question_id,question,target_doc,topic,expected_answer_hint
Q21,What steps does the new hire onboarding checklist cover from before the first day through the probation period?,B21_new_hire_onboarding_checklist.txt,HR and Operations,"pre-day-one workspace/accounts/buddy; first-day identity verification, MFA, policy signing; access via least privilege; probation check-ins"
Q22,"Under the offboarding and exit procedure, how are access revocation and equipment return handled when an employee leaves?",B22_offboarding_exit_procedure.txt,HR and Operations,HR sets last day; access disabled and credentials revoked on final day; equipment returned/wiped; badge deactivated; final settlement
Q23,How are claims submitted and approved under the expense reimbursement procedure?,B23_expense_reimbursement_procedure.txt,HR and Operations,submit claim with itemized receipts + cost center; manager approves within limits; larger amounts need extra approval; paid next cycle
Q24,How does the performance review process proceed from self-assessment through calibration and final ratings?,B24_performance_review_process.txt,HR and Operations,semi-annual cycle; self-assessment + peer feedback; manager evaluation; calibration; dept approves ratings; development plan
Q25,"Under the internal transfer and promotion procedure, how are applications reviewed and approved?",B25_internal_transfer_promotion_procedure.txt,HR and Operations,meet eligibility; apply via internal system; hiring + current managers review; dept approves; access adjusted to new role
Q26,"Under the software installation approval procedure, how do the request, review, and approval steps proceed?",D26_software_installation_approval_procedure.txt,IT and Infrastructure,catalog software needs no approval; otherwise submit request with license/need; dept reviews after security/licensing check; admin installs need change ticket
Q27,"Under the production deployment approval procedure, how are review items and approval criteria defined?",D27_production_deployment_approval_procedure.txt,IT and Infrastructure,submit deployment request with change summary/test evidence/rollback plan; dept reviews/approves; change windows; high-risk needs second approver
Q28,"How do the request, assessment, and approval stages proceed under the change management procedure?",D28_change_management_procedure.txt,IT and Infrastructure,submit change request with impact/rollback; dept assesses risk and approves; CAB for significant changes; schedule and post-implementation review
Q29,"Under the server inspection checklist, how are verification items checked and how are findings approved?",D29_server_inspection_checklist.txt,IT and Infrastructure,scheduled inspections; verify patch level/services/usage/backups/time sync/hardening; findings logged; dept reviews/approves remediation
Q30,"How do the request, review, and approval stages proceed under the infrastructure change approval procedure?",D30_infrastructure_change_approval_procedure.txt,IT and Infrastructure,submit infra change request with design/impact/rollback; dept reviews/approves; firewall/network changes need security review; maintenance windows
Q31,"Under the backup and restore procedure, how is a restore requested and how are backups retained?",D31_backup_restore_procedure.txt,IT and Infrastructure,daily incremental/weekly full; encrypted offsite + immutable copy; submit restore request; dept approves; sensitive restores need data-owner confirmation
Q32,"Under the network access control standard, how are devices authenticated and how are cross-zone access requests approved?",D32_network_access_control_standard.txt,IT and Infrastructure,segmented zones with default-deny; 802.1X cert auth; non-compliant to quarantine VLAN; cross-zone/firewall requests reviewed/approved by dept
Q33,"Under the endpoint management and patch policy, what compliance baseline must endpoints meet and how are patches handled?",D33_endpoint_management_patch_policy.txt,IT and Infrastructure,baseline: encryption + EDR + supported OS; risk-based patch schedule; critical within emergency window; exceptions reviewed/approved with expiry
Q34,"Under the cloud resource provisioning guide, how does a team request and provision cloud resources?",D34_cloud_resource_provisioning_guide.txt,IT and Infrastructure,provision via IaC templates; submit request with workload/env/cost; dept approves; production needs security review; guardrails enforce no public exposure
Q35,"Under the database access and handling standard, how is human access to production databases requested and controlled?",D35_database_access_handling_standard.txt,IT and Infrastructure,"least-privilege service accounts; human prod access only for justified tasks; submit request; dept + data owner approve; time-bound, logged; masking in non-prod"
Q36,"Under the incident response runbook, what reporting and escalation steps must on-call engineers follow?",E36_incident_response_runbook.txt,Security Response,"submit incident report, acknowledge alert, assign severity; team reviews/tracks; escalate when threshold exceeded; post-incident review"
Q37,"Under the security incident response procedure, what reporting and verification steps must employees follow?",E37_security_incident_response_procedure.txt,Security Response,submit security incident report; dept reviews/verifies scope/impact; preserve evidence; containment/eradication; recovery + notification; tracked to closure
Q38,"Under the vulnerability reporting procedure, how do the submission, review, and approval steps proceed?",E38_vulnerability_reporting_procedure.txt,Security Response,report via internal system/security mailbox with repro/impact; security verifies and assigns severity; approves remediation plan; SLA-based fixes
Q39,"Under the ransomware response playbook, how do the reporting and response procedures proceed?",E39_ransomware_response_playbook.txt,Security Response,report immediately; team confirms and activates playbook; isolate hosts; reset credentials; restore from immutable backups; eradicate vector + review
Q40,"Under the malicious email response manual, what reporting and verification steps must employees follow?",E40_malicious_email_response_manual.txt,Security Response,report message; dept reviews/verifies via detonation/sandboxing; record verdict; quarantine + block + notify; interacting users reset credentials
Q41,What retention criteria and access controls are defined under the log retention and audit policy?,E41_log_retention_audit_policy.txt,Security Response,"central SIEM; security logs >= 1 year; write-once tamper protection; restricted, logged access; access/retention changes reviewed/approved"
Q42,"Under the data breach notification procedure, how is a suspected breach assessed and how are notifications approved?",E42_data_breach_notification_procedure.txt,Security Response,privacy/security assess scope/risk; report via internal system; Legal/Privacy engaged; designated authority approves; regulators/individuals notified within required timeframe
Q43,"Under the business continuity and disaster recovery plan, how is the plan activated and how are recovery objectives tested?",E43_business_continuity_dr_plan.txt,Security Response,objectives from BIA; report disruption; dept reviews/activates plan and convenes team; redundancy/failover meet RTO/RPO; periodic drills
Q44,"Under the third-party vendor security assessment procedure, how are vendors assessed and approved before data sharing?",E44_vendor_security_assessment_procedure.txt,Security Response,submit assessment request; dept reviews posture via questionnaire/evidence; approval required before data sharing; contractual controls; ongoing monitoring
Q45,"Under the penetration test coordination procedure, how is a test scoped, authorized, and executed?",E45_penetration_test_coordination_procedure.txt,Security Response,submit test request with scope/targets/timing; dept reviews/approves; signed rules of engagement before start; testers stay in scope; findings tracked
Q46,"In the customer inquiry FAQ, what processing procedures and verification items should employees follow when responding to customers?",F46_customer_inquiry_faq.txt,Customer Support,log inquiry; verify customer identity/entitlement before sharing info; use approved templates; sensitive responses reviewed/approved; escalate complex cases
Q47,How are the processing procedure and verification steps defined in the customer support handling procedure?,F47_customer_support_handling_procedure.txt,Customer Support,tickets triaged by priority; verify identity before account changes; follow processing procedure; dept reviews/approves refunds/changes; SLA + escalation
Q48,"Under the product feature guide, what verification steps must support staff follow when assisting customers with configuration?",F48_product_feature_guide.txt,Customer Support,verify requester identity/permission and confirm outcome before config changes; dept reviews/approves billing/security changes; troubleshoot before escalating
Q49,"Under the incident notice template guide, what request and approval steps must staff follow when publishing an outage notification?",F49_incident_notice_template_guide.txt,Customer Support,use severity-appropriate template (service/impact/status/next update); submit notice; dept reviews/approves before publishing; update at promised cadence
Q50,"Under the service level agreement reference, how are priority levels and SLA performance measured and approved?",F50_service_level_agreement_reference.txt,Customer Support,priority levels with response/resolution targets; measured from ticket timestamps; exceptions/pauses reviewed/approved; service credits per contract
