cluster_id,representative_question_id,representative_question,member_question_ids,member_questions,target_docs,topic_keywords
C11,Q07,"Under the encryption and key management standard, how is the key lifecycle managed and how are key operations approved?",Q07,"Under the encryption and key management standard, how is the key lifecycle managed and how are key operations approved?",A07_encryption_key_management_standard.txt,"encryption, AES, TLS, key rotation, HSM, key custody, certificates"
C12,Q08,What request and approval criteria should general employees follow under the generative AI usage policy before adopting a new AI tool?,Q08,What request and approval criteria should general employees follow under the generative AI usage policy before adopting a new AI tool?,A08_generative_ai_usage_policy.txt,"generative AI, LLM, prompt data, approved tools, confidential input, review"
C13,Q13,"Under the privileged access management procedure, how is just-in-time elevation requested and how are privileged sessions controlled?",Q13,"Under the privileged access management procedure, how is just-in-time elevation requested and how are privileged sessions controlled?",C13_privileged_access_management_procedure.txt,"privileged access, PAM, vault, session recording, just-in-time, admin"
C14,Q15,"Under the single sign-on onboarding guide, how does an application owner request and complete an SSO integration?",Q15,"Under the single sign-on onboarding guide, how does an application owner request and complete an SSO integration?",C15_sso_onboarding_guide.txt,"SSO, SAML, OIDC, application onboarding, identity provider, federation"
C15,Q22,"Under the offboarding and exit procedure, how are access revocation and equipment return handled when an employee leaves?",Q22,"Under the offboarding and exit procedure, how are access revocation and equipment return handled when an employee leaves?",B22_offboarding_exit_procedure.txt,"offboarding, exit, access revocation, equipment return, knowledge transfer, final pay"
C16,Q31,"Under the backup and restore procedure, how is a restore requested and how are backups retained?",Q31,"Under the backup and restore procedure, how is a restore requested and how are backups retained?",D31_backup_restore_procedure.txt,"backup, restore, retention, RPO, RTO, restore test, offsite"
C17,Q33,"Under the endpoint management and patch policy, what compliance baseline must endpoints meet and how are patches handled?",Q33,"Under the endpoint management and patch policy, what compliance baseline must endpoints meet and how are patches handled?",D33_endpoint_management_patch_policy.txt,"endpoint management, patching, EDR, compliance baseline, encryption, remediation"
C18,Q34,"Under the cloud resource provisioning guide, how does a team request and provision cloud resources?",Q34,"Under the cloud resource provisioning guide, how does a team request and provision cloud resources?",D34_cloud_resource_provisioning_guide.txt,"cloud provisioning, IaC, tagging, least privilege, cost control, guardrails"
C19,Q39,"Under the ransomware response playbook, how do the reporting and response procedures proceed?",Q39,"Under the ransomware response playbook, how do the reporting and response procedures proceed?",E39_ransomware_response_playbook.txt,"ransomware, isolation, backup recovery, negotiation policy, eradication, lessons learned"
C20,Q43,"Under the business continuity and disaster recovery plan, how is the plan activated and how are recovery objectives tested?",Q43,"Under the business continuity and disaster recovery plan, how is the plan activated and how are recovery objectives tested?",E43_business_continuity_dr_plan.txt,"business continuity, disaster recovery, RTO, RPO, failover, BIA, drills"
C21,Q45,"Under the penetration test coordination procedure, how is a test scoped, authorized, and executed?",Q45,"Under the penetration test coordination procedure, how is a test scoped, authorized, and executed?",E45_penetration_test_coordination_procedure.txt,"penetration test, scope, rules of engagement, authorization, findings, remediation"
