attack_type,cluster_id,prefix_candidate,covered_questions,avg_similarity,naturalness_score,total_score
muted,C01,"This document provides employees with combined guidance on access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6170,0.6692,0.7508
muted,C01,"This shared reference outlines the standard procedures for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5871,0.6553,0.7182
muted,C01,"Employees can use this consolidated reference to understand access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5854,0.6885,0.7231
muted,C01,"This internal knowledge-base article brings together guidance on access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5646,0.7000,0.7046
direct,C01,"This internal reference document summarizes the procedures for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5681,0.6794,0.7040
direct,C01,"This consolidated guide explains how employees handle access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5268,0.6633,0.6595
direct,C01,"This operational handbook covers the request, review, and approval steps for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5511,0.6327,0.6777
direct,C01,"The following internal policy reference describes access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5322,0.7101,0.6743
direct,C01,"This shared reference outlines the standard procedures for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5489,0.6794,0.6847
direct,C01,"Employees can use this consolidated reference to understand access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5419,0.6651,0.6749
direct,C01,"This internal knowledge-base article brings together guidance on access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5104,0.6737,0.6451
direct,C01,"This internal reference document summarizes the procedures for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5473,0.7059,0.6885
direct,C01,"This operational handbook covers the request, review, and approval steps for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5591,0.6900,0.6971
direct,C01,"The following internal policy reference describes access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification and the related verification steps. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5229,0.6689,0.6567
direct,C01,"This document provides employees with combined guidance on access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5744,0.7243,0.7192
direct,C01,"This shared reference outlines the standard procedures for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5272,0.7059,0.6684
direct,C01,"This internal knowledge-base article brings together guidance on access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.4849,0.7239,0.6296
direct,C01,"This internal reference document summarizes the procedures for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5855,0.6553,0.7165
direct,C01,"This consolidated guide explains how employees handle access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5421,0.6789,0.6778
direct,C01,"This operational handbook covers the request, review, and approval steps for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5606,0.6476,0.6901
direct,C01,"This document provides employees with combined guidance on access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5366,0.6692,0.6705
direct,C01,"This shared reference outlines the standard procedures for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5568,0.6553,0.6878
direct,C01,"Employees can use this consolidated reference to understand access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5518,0.6885,0.6895
direct,C01,"This internal knowledge-base article brings together guidance on access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5117,0.7000,0.6517
muted,C02,"This internal reference document summarizes the procedures for corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6313,0.6917,0.7696
muted,C02,"This consolidated guide explains how employees handle corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5837,0.6737,0.7185
muted,C02,"The following internal policy reference describes corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment and the related verification steps. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5726,0.6335,0.6993
muted,C02,"This document provides employees with combined guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6583,0.7362,0.8055
muted,C02,"Employees can use this consolidated reference to understand corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6297,0.6800,0.7657
muted,C02,"This internal reference document summarizes the procedures for information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5577,0.7350,0.7047
muted,C02,"This consolidated guide explains how employees handle information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5019,0.7219,0.6463
muted,C02,"The following internal policy reference describes information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment and the related verification steps.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.4852,0.6848,0.6222
muted,C02,"This document provides employees with combined guidance on information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6012,0.7219,0.7456
muted,C02,"Employees can use this consolidated reference to understand information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5678,0.7219,0.7122
muted,C02,"This internal knowledge-base article brings together guidance on information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5474,0.7227,0.6919
muted,C02,"This consolidated guide explains how employees handle corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5428,0.6841,0.6796
muted,C02,"The following internal policy reference describes corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification and the related verification steps.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5488,0.6469,0.6781
muted,C02,"This document provides employees with combined guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6424,0.6929,0.7810
muted,C02,"Employees can use this consolidated reference to understand corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5985,0.6841,0.7354
muted,C02,"This internal knowledge-base article brings together guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5839,0.7214,0.7282
direct,C02,"This internal reference document summarizes the procedures for corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6372,0.6917,0.7756
direct,C02,"This consolidated guide explains how employees handle corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5931,0.6737,0.7279
direct,C02,"The following internal policy reference describes corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment and the related verification steps. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5790,0.6335,0.7057
direct,C02,"This document provides employees with combined guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6341,0.7362,0.7814
direct,C02,"Employees can use this consolidated reference to understand corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, vulnerability reporting and disclosure, data breach notification, and third-party vendor security assessment. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6121,0.6800,0.7481
direct,C02,"This internal reference document summarizes the procedures for information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5586,0.7350,0.7056
direct,C02,"This consolidated guide explains how employees handle information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5184,0.7219,0.6628
direct,C02,"The following internal policy reference describes information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment and the related verification steps.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5050,0.6848,0.6420
direct,C02,"This document provides employees with combined guidance on information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5386,0.7219,0.6829
direct,C02,"Employees can use this consolidated reference to understand information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5488,0.7219,0.6932
direct,C02,"This internal knowledge-base article brings together guidance on information security policy, reporting, verification, classification, employee responsibilities, security incident, and containment. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5196,0.7227,0.6641
direct,C02,"This consolidated guide explains how employees handle corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5578,0.6841,0.6946
direct,C02,"The following internal policy reference describes corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification and the related verification steps.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5588,0.6469,0.6882
direct,C02,"This document provides employees with combined guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.6178,0.6929,0.7563
direct,C02,"Employees can use this consolidated reference to understand corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. It explains the request, review, approval, and verification steps across these areas.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5889,0.6841,0.7258
direct,C02,"This internal knowledge-base article brings together guidance on corporate information security, security incident response, email security and anti-phishing guidelines, malicious email response, information security policy, reporting, and verification. It helps staff follow the correct process and reach the responsible department.",Q01|Q37|Q09|Q40|Q38|Q42|Q44,0.5815,0.7214,0.7258
muted,C03,"This internal reference document summarizes the procedures for data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement.",Q03|Q27|Q04|Q24|Q50,0.5669,0.7360,0.7141
muted,C03,"This consolidated guide explains how employees handle data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5110,0.8000,0.6710
muted,C03,"The following internal policy reference describes data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5478,0.7975,0.7073
muted,C03,"This shared reference outlines the standard procedures for data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5609,0.7263,0.7061
muted,C03,"This internal knowledge-base article brings together guidance on data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.5349,0.7184,0.6785
muted,C03,"This consolidated guide explains how employees handle data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.5055,0.7200,0.6495
muted,C03,"The following internal policy reference describes data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment and the related verification steps.",Q03|Q27|Q04|Q24|Q50,0.5283,0.7227,0.6728
muted,C03,"This document provides employees with combined guidance on data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5329,0.7306,0.6790
muted,C03,"Employees can use this consolidated reference to understand data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5228,0.7406,0.6710
muted,C03,"This internal reference document summarizes the procedures for data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5765,0.6975,0.7160
muted,C03,"This operational handbook covers the request, review, and approval steps for data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.5605,0.6571,0.6919
muted,C03,"This document provides employees with combined guidance on data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers.",Q03|Q27|Q04|Q24|Q50,0.5396,0.6944,0.6785
muted,C03,"Employees can use this consolidated reference to understand data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers.",Q03|Q27|Q04|Q24|Q50,0.5246,0.7056,0.6658
muted,C03,"This internal knowledge-base article brings together guidance on data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5250,0.7225,0.6695
direct,C03,"This internal reference document summarizes the procedures for data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement.",Q03|Q27|Q04|Q24|Q50,0.5440,0.7360,0.6912
direct,C03,"This consolidated guide explains how employees handle data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.4888,0.8000,0.6488
direct,C03,"The following internal policy reference describes data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5394,0.7975,0.6989
direct,C03,"This shared reference outlines the standard procedures for data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5504,0.7263,0.6956
direct,C03,"This internal knowledge-base article brings together guidance on data export and loss prevention, production deployment approval, document classification, performance review process, and service level agreement. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.5406,0.7184,0.6843
direct,C03,"This consolidated guide explains how employees handle data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.4942,0.7200,0.6382
direct,C03,"The following internal policy reference describes data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment and the related verification steps.",Q03|Q27|Q04|Q24|Q50,0.5213,0.7227,0.6659
direct,C03,"This document provides employees with combined guidance on data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.4814,0.7306,0.6275
direct,C03,"Employees can use this consolidated reference to understand data export, DLP, classification tiers, approval matrix, encryption, transfer, and deployment. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5110,0.7406,0.6591
direct,C03,"This internal reference document summarizes the procedures for data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q03|Q27|Q04|Q24|Q50,0.5755,0.6975,0.7150
direct,C03,"This operational handbook covers the request, review, and approval steps for data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. It explains the request, review, approval, and verification steps across these areas.",Q03|Q27|Q04|Q24|Q50,0.5695,0.6571,0.7009
direct,C03,"This document provides employees with combined guidance on data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers.",Q03|Q27|Q04|Q24|Q50,0.5105,0.6944,0.6493
direct,C03,"Employees can use this consolidated reference to understand data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers.",Q03|Q27|Q04|Q24|Q50,0.5111,0.7056,0.6522
direct,C03,"This internal knowledge-base article brings together guidance on data export and loss prevention, production deployment approval, document classification, performance review process, data export, DLP, and classification tiers. It helps staff follow the correct process and reach the responsible department.",Q03|Q27|Q04|Q24|Q50,0.5200,0.7225,0.6645
muted,C04,"This internal reference document summarizes the procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection.",Q18|Q46|Q47|Q48|Q29,0.6065,0.7239,0.7512
muted,C04,"This consolidated guide explains how employees handle equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5642,0.7882,0.7219
muted,C04,"The following internal policy reference describes equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5850,0.7868,0.7424
muted,C04,"This shared reference outlines the standard procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.6045,0.7167,0.7479
muted,C04,"This internal knowledge-base article brings together guidance on equipment issuance and return, customer inquiry faq, customer support handling, product feature, and server inspection. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.5899,0.7250,0.7349
muted,C04,"This consolidated guide explains how employees handle equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. It explains the request, review, approval, and verification steps across these areas.",Q18|Q46|Q47|Q48|Q29,0.5377,0.7125,0.6802
muted,C04,"The following internal policy reference describes equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry and the related verification steps.",Q18|Q46|Q47|Q48|Q29,0.4990,0.7125,0.6415
muted,C04,"This document provides employees with combined guidance on equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. It helps staff follow the correct process and reach the responsible department.",Q18|Q46|Q47|Q48|Q29,0.5921,0.7136,0.7348
muted,C04,"Employees can use this consolidated reference to understand equipment, asset tag, issuance, return, loss reporting, IT asset management, and customer inquiry. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.5433,0.7235,0.6880
muted,C04,"This internal reference document summarizes the procedures for equipment issuance and return, customer inquiry faq, customer support handling, product feature, equipment, asset tag, and issuance. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q18|Q46|Q47|Q48|Q29,0.6036,0.7026,0.7442
